电影名,年份,地区,剧情类型,导演,主演,评分,评论人数,简介
肖申克的救赎,1994 , 美国 , 犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont   ,蒂姆·罗宾斯 Tim Robbins /...,9.7,1515996人评价,希望让人自由。
霸王别姬,1993 , 中国大陆 香港 , 剧情 爱情 同性, 陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,1122301人评价,风华绝代。
这个杀手不太冷,1994 , 法国 , 剧情 动作 犯罪, 吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,1374098人评价,怪蜀黍和小萝莉不得不说的故事。
阿甘正传,1994 , 美国 , 剧情 爱情, 罗伯特·泽米吉斯 Robert Zemeckis   ,汤姆·汉克斯 Tom Hanks / ...,9.4,1186726人评价,一部美国近现代史。
美丽人生,1997 , 意大利 , 剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,9.5,695557人评价,最美的谎言。
千与千寻,2001 , 日本 , 剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.3,1216563人评价,最好的宫崎骏，最好的久石让。
泰坦尼克号,1997 , 美国 , 剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,9.4,1128363人评价,失去的才是永恒的。
辛德勒的名单,1993 , 美国 , 剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,9.5,618187人评价,拯救一个人，就是拯救整个世界。
盗梦空间,2010 , 美国 英国 , 剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,9.3,1179066人评价,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,2009 , 美国 英国 , 剧情, 莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,9.3,786713人评价,永远都不能忘记你所爱的人。
机器人总动员,2008 , 美国 , 爱情 科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton   ,本·贝尔特 Ben Burtt / 艾丽...,9.3,781370人评价,小瓦力，大人生。
三傻大闹宝莱坞,2009 , 印度 , 剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani   ,阿米尔·汗 Aamir Khan / 卡...,9.2,1064764人评价,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,2004 , 法国 瑞士 德国 , 剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier   ,热拉尔·朱尼奥 Gé...,9.3,740794人评价,天籁一般的童声，是最接近上帝的存在。
海上钢琴师,1998 , 意大利 , 剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore   ,蒂姆·罗斯 Tim Roth / ...,9.2,866653人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
楚门的世界,1998 , 美国 , 剧情 科幻, 彼得·威尔 Peter Weir   ,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.2,823403人评价,如果再也不能见到你，祝你早安，午安，晚安。
大话西游之大圣娶亲,1995 , 香港 中国大陆 , 喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,826750人评价,一生所爱。
星际穿越,2014 , 美国 英国 加拿大 冰岛 , 剧情 科幻 冒险, 克里斯托弗·诺兰 Christopher Nolan   ,马修·麦康纳 Matthew Mc...,9.3,847174人评价,爱是一种力量，让我们超越时空感知它的存在。
龙猫,1988 , 日本 , 动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki   ,日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,732957人评价,人人心中都有个龙猫，童年就永远不会消失。
教父,1972 , 美国 , 剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola   ,马龙·白兰度 M...,9.3,532484人评价,千万不要记恨你的对手，这样会让你失去理智。
熔炉,2011 , 韩国 , 剧情, 黄东赫 Dong-hyuk Hwang   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,9.3,486341人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
无间道,2002 , 香港 , 剧情 犯罪 悬疑, 刘伟强 / 麦兆辉   ,刘德华 / 梁朝伟 / 黄秋生,9.2,680232人评价,香港电影史上永不过时的杰作。
疯狂动物城,2016 , 美国 , 喜剧 动画 冒险, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,金妮弗·...,9.2,948348人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
当幸福来敲门,2006 , 美国 , 剧情 传记 家庭, 加布里尔·穆奇诺 Gabriele Muccino   ,威尔·史密斯 Will Smith ...,9.1,862898人评价,平民励志片。
怦然心动,2010 , 美国 , 剧情 喜剧 爱情, 罗伯·莱纳 Rob Reiner   ,玛德琳·卡罗尔 Madeline Carroll / 卡...,9.0,961101人评价,真正的幸福是来自内心深处。
触不可及,2011 , 法国 , 剧情 喜剧, 奥利维·那卡什 Olivier Nakache ,无介绍...,9.2,565292人评价,满满温情的高雅喜剧。
蝙蝠侠：黑暗骑士,2008 , 美国 英国 , 剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,9.1,555979人评价,无尽的黑暗。
乱世佳人,1939 , 美国 , 剧情 历史 爱情 战争, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   ,费...,9.3,391580人评价,Tomorrow is another day.
活着,1994 , 中国大陆 香港 , 剧情 历史 家庭, 张艺谋 Yimou Zhang   ,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.2,440101人评价,张艺谋最好的电影。
控方证人,1957 , 美国 , 剧情 犯罪 悬疑, 比利·怀尔德 Billy Wilder   ,泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,197238人评价,比利·怀德满分作品。
